Date,Open,High,Low,Close,Volume,DominanceBTC
2024-02-01,117920.40,121500.00,115800.00,120240.80,900000,
2024-02-02,120240.80,124200.00,118900.00,123680.20,920000,
2024-02-03,123680.20,126800.00,121500.00,125910.70,940000,
2024-02-04,125910.70,129500.00,123800.00,128340.10,960000,
2024-02-05,128340.10,132200.00,125600.00,130980.50,980000,
2024-02-06,130980.50,135800.00,128400.00,134120.90,1020000,
2024-02-07,134120.90,139000.00,131500.00,137680.30,1050000,
2024-02-08,137680.30,143200.00,135000.00,141940.70,1100000,
2024-02-09,141940.70,147500.00,139800.00,145820.10,1150000,
2024-02-10,145820.10,150800.00,142500.00,148960.40,1180000,
2024-02-11,148960.40,153900.00,145200.00,151740.90,1200000,
2024-02-12,151740.90,157500.00,148900.00,155620.30,1220000,
2024-02-13,155620.30,161200.00,152800.00,159480.70,1240000,
2024-02-14,159480.70,165000.00,156500.00,163920.20,1260000,
2024-02-15,163920.20,169800.00,160200.00,167480.60,1280000,
2024-02-16,167480.60,174500.00,164300.00,171240.10,1300000,
2024-02-17,171240.10,179200.00,168000.00,176980.50,1350000,
2024-02-18,176980.50,183800.00,172500.00,181420.90,1400000,
2024-02-19,181420.90,188500.00,177000.00,185760.30,1450000,
2024-02-20,185760.30,193200.00,181500.00,190480.70,1500000,
2024-02-21,190480.70,198800.00,186200.00,195920.10,1550000,
2024-02-22,195920.10,204500.00,191500.00,201840.40,1600000,
2024-02-23,201840.40,209800.00,197200.00,206780.90,1650000,
2024-02-24,206780.90,214200.00,202500.00,211940.30,1700000,
2024-02-25,211940.30,219500.00,207800.00,216820.70,1750000,
2024-02-26,216820.70,224800.00,212900.00,221980.20,1800000,
2024-02-27,221980.20,229500.00,217500.00,226740.60,1850000,
2024-02-28,226740.60,234200.00,221800.00,231480.10,1900000,
2024-02-29,231480.10,239800.00,226500.00,236920.40,1950000,
