Date,Open,High,Low,Close,Volume,DominanceBTC
2010-07-01,0.0495,0.0859,0.0495,0.0818,21336.327,100
2010-08-01,0.0610,0.0690,0.0581,0.0646,34193.138,100
2010-09-01,0.0620,0.0640,0.0590,0.0618,23475.642,100
2010-10-01,0.0619,0.1301,0.0580,0.0965,187846.954,100
2010-11-01,0.1925,0.5000,0.1400,0.3900,118203.827,100
2010-12-01,0.2095,0.3010,0.2050,0.3000,14886.907,100
2011-01-01,0.2920,0.4050,0.2890,0.3200,42601.118,100
2011-02-01,1.2000,1.8000,1.1800,1.7500,155000.000,100
2011-03-01,2.6000,3.2000,2.5800,2.6500,245000.000,100
2011-04-01,4.1500,4.5500,4.1300,4.2000,400000.000,100
2011-05-01,6.3000,7.2500,6.2500,6.8000,550000.000,100
2011-06-01,9.4000,15.0000,9.3500,15.0000,1500000.000,100
2011-07-01,9.0000,9.5000,7.0000,8.0000,150000.000,100
2011-08-01,2.0000,2.5000,1.5000,2.4000,13000.000,100
2011-09-01,3.5500,3.7500,3.5000,3.6000,26000.000,100
2011-10-01,5.0500,5.2500,5.0000,5.1000,40500.000,100
2011-11-01,6.6000,7.1000,6.5500,6.6500,56000.000,100
2011-12-01,2.9900,4.5000,2.6100,3.9500,63864.088,100
2012-01-01,4.7079,7.2200,4.6150,6.9476,108509.230,95
2012-02-01,5.5342,6.2000,5.4678,6.0756,115523.962,95
2012-03-01,4.8600,5.5000,4.5100,5.5000,90000.000,95
2012-04-01,7.5000,8.1000,7.4000,8.0000,200000.000,95
2012-05-01,11.0000,12.3000,10.9000,11.3000,350000.000,95
2012-06-01,5.5350,6.7996,5.3894,6.5478,78982.597,95
2012-07-01,6.6899,8.4000,6.4499,8.4000,20577.604,95
2012-08-01,9.3000,10.2000,9.2000,10.2000,100000.000,95
2012-09-01,12.4000,13.7000,12.3000,13.2000,162000.000,95
2012-10-01,15.4000,16.1000,15.3000,15.7000,222000.000,95
2012-11-01,16.0000,16.4000,15.9000,16.2000,230000.000,95
2012-12-01,17.0000,18.0000,16.5000,17.8000,240000.000,95
