Date,Open,High,Low,Close,Volume,BTC_Dominance
2012-08-01,9.10,11.00,8.20,10.20,23000,95
2012-08-02,10.20,11.50,8.30,10.30,25000,95
2012-08-03,10.30,11.80,8.40,10.40,27000,95
2012-08-04,10.40,12.00,8.60,10.60,29000,95
2012-08-05,10.60,12.30,8.80,10.90,31000,95
2012-08-06,10.90,12.50,9.00,11.10,33000,95
2012-08-07,11.10,12.70,9.20,11.30,35000,95
2012-08-08,11.30,12.90,9.40,11.50,37000,95
2012-08-09,11.50,13.10,9.70,11.63,30372,95
2012-08-10,11.63,13.40,9.80,11.80,32000,95
2012-08-11,11.80,13.60,10.00,12.10,44099,95
2012-08-12,12.10,13.83,11.04,11.93,54012,95
2012-08-13,11.93,13.76,10.65,12.10,57000,95
2012-08-14,12.10,13.90,10.80,12.30,60000,95
2012-08-15,12.30,14.74,11.69,13.48,96513,95
2012-08-16,13.48,14.74,11.80,13.48,96513,95
2012-08-17,13.48,14.74,11.80,12.86,220698,95
2012-08-18,12.86,13.26,9.77,10.66,239702,95
2012-08-19,10.66,12.72,10.06,10.58,192185,95
2012-08-20,10.58,13.20,10.20,10.43,71764,95
2012-08-21,10.43,10.50,8.52,10.28,67622,95
2012-08-22,10.28,10.40,8.32,10.21,55908,95
2012-08-23,10.21,11.50,9.57,10.45,92153,95
2012-08-24,10.45,11.98,9.01,10.30,40468,95
2012-08-25,10.30,11.98,9.01,10.30,40468,95
2012-08-26,10.30,11.04,8.85,10.62,26229,95
2012-08-27,10.62,12.66,9.65,10.99,174871,95
2012-08-28,10.99,13.18,10.43,11.95,54891,95
2012-08-29,11.95,14.57,10.56,11.17,53646,95
2012-08-30,11.17,13.45,10.54,10.89,30904,95
2012-08-31,10.89,11.42,9.44,10.76,67691,95
