Date,Open,High,Low,Close,Volume,BTC_Dominance
2011-07-01,64.16,68.00,60.00,65.00,34000,100
2011-07-02,65.00,70.00,62.50,67.50,35000,100
2011-07-03,67.50,72.00,65.00,70.00,36000,100
2011-07-04,70.00,74.00,68.00,72.00,37000,100
2011-07-05,72.00,76.00,70.00,74.00,38000,100
2011-07-06,74.00,78.00,72.00,76.00,39000,100
2011-07-07,76.00,80.00,74.00,78.00,40000,100
2011-07-08,78.00,82.00,76.00,80.00,41000,100
2011-07-09,80.00,84.00,78.00,82.00,42000,100
2011-07-10,82.00,88.00,80.00,85.00,43000,100
2011-07-11,85.00,90.00,82.00,87.00,44000,100
2011-07-12,87.00,92.00,85.00,89.00,45000,100
2011-07-13,89.00,94.00,87.00,91.00,46000,100
2011-07-14,91.00,96.00,89.00,93.00,47000,100
2011-07-15,93.00,98.00,91.00,95.00,48000,100
2011-07-16,95.00,100.00,93.00,97.00,49000,100
2011-07-17,97.00,102.00,95.00,99.00,50000,100
2011-07-18,99.00,104.00,97.00,101.00,51000,100
2011-07-19,101.00,106.00,99.00,103.00,52000,100
2011-07-20,103.00,108.00,101.00,105.00,53000,100
2011-07-21,105.00,110.00,103.00,107.00,54000,100
2011-07-22,107.00,112.00,105.00,109.00,55000,100
2011-07-23,109.00,114.00,107.00,111.00,56000,100
2011-07-24,111.00,116.00,109.00,113.00,57000,100
2011-07-25,113.00,118.00,111.00,115.00,58000,100
2011-07-26,115.00,120.00,113.00,117.00,59000,100
2011-07-27,117.00,122.00,115.00,119.00,60000,100
2011-07-28,119.00,124.00,117.00,121.00,61000,100
2011-07-29,121.00,126.00,119.00,123.00,62000,100
2011-07-30,123.00,128.00,121.00,125.00,63000,100
2011-07-31,125.00,130.00,123.00,127.00,64000,100
