Date,Open,High,Low,Close,Volume,BTC_Dominance
2013-08-01,104.00,108.00,103.00,106.21,150000,95
2013-08-02,106.21,110.00,104.00,108.50,152000,95
2013-08-03,108.50,112.00,106.00,110.80,154000,95
2013-08-04,110.80,114.00,108.00,113.10,156000,95
2013-08-05,113.10,117.00,110.00,115.30,158000,95
2013-08-06,115.30,119.00,112.00,117.60,160000,95
2013-08-07,117.60,121.00,115.00,119.80,162000,95
2013-08-08,119.80,123.00,117.00,122.10,164000,95
2013-08-09,122.10,125.00,120.00,124.20,166000,95
2013-08-10,124.20,128.00,122.00,126.50,168000,95
2013-08-11,126.50,130.00,125.00,128.70,170000,95
2013-08-12,128.70,132.00,127.00,130.90,172000,95
2013-08-13,130.90,134.00,129.00,133.10,174000,95
2013-08-14,133.10,137.00,131.00,135.20,176000,95
2013-08-15,135.20,139.00,133.00,137.40,178000,95
2013-08-16,137.40,141.00,135.00,139.80,180000,95
2013-08-17,139.80,143.00,137.00,142.10,182000,95
2013-08-18,142.10,146.00,140.00,144.30,184000,95
2013-08-19,144.30,148.00,142.00,146.50,186000,95
2013-08-20,146.50,150.00,144.00,148.70,188000,95
2013-08-21,148.70,152.00,146.00,150.90,190000,95
2013-08-22,150.90,154.00,148.00,153.10,192000,95
2013-08-23,153.10,157.00,151.00,155.30,194000,95
2013-08-24,155.30,159.00,153.00,157.50,196000,95
2013-08-25,157.50,161.00,155.00,159.80,198000,95
2013-08-26,159.80,163.00,158.00,161.90,200000,95
2013-08-27,161.90,165.00,160.00,164.10,202000,95
2013-08-28,164.10,167.00,162.00,166.30,204000,95
2013-08-29,166.30,170.00,164.00,168.50,206000,95
2013-08-30,168.50,172.00,166.00,170.70,208000,95
2013-08-31,170.70,175.00,168.00,173.90,210000,95
