Date,Open,High,Low,Close,Volume,BTC_Dominance
2013-03-01,65.00,75.00,62.00,72.50,25000,95
2013-03-02,72.50,80.00,68.00,75.20,27000,95
2013-03-03,75.20,85.00,70.00,78.80,29000,95
2013-03-04,78.80,88.00,74.00,83.10,31000,95
2013-03-05,83.10,95.00,78.50,89.20,33000,95
2013-03-06,89.20,102.00,85.00,96.50,35000,95
2013-03-07,96.50,110.00,90.50,103.70,37000,95
2013-03-08,103.70,118.00,98.00,112.30,39000,95
2013-03-09,112.30,130.00,105.00,121.80,41000,95
2013-03-10,121.80,140.00,115.50,132.40,43000,95
2013-03-11,132.40,152.00,120.00,142.70,45000,95
2013-03-12,142.70,162.00,130.00,153.10,47000,95
2013-03-13,153.10,175.00,140.60,165.80,49000,95
2013-03-14,165.80,190.00,150.00,178.30,51000,95
2013-03-15,178.30,205.00,160.50,190.80,53000,95
2013-03-16,190.80,220.00,170.00,203.40,55000,95
2013-03-17,203.40,235.00,180.50,216.70,57000,95
2013-03-18,216.70,250.00,200.00,230.60,59000,95
2013-03-19,230.60,270.00,210.00,245.20,61000,95
2013-03-20,245.20,290.00,225.50,260.70,63000,95
2013-03-21,260.70,305.00,240.00,276.90,65000,95
2013-03-22,276.90,325.00,255.00,294.10,67000,95
2013-03-23,294.10,345.00,270.00,312.50,69000,95
2013-03-24,312.50,365.00,280.00,332.70,71000,95
2013-03-25,332.70,390.00,300.00,354.90,73000,95
2013-03-26,354.90,420.00,320.00,378.80,75000,95
2013-03-27,378.80,460.00,340.00,405.30,77000,95
2013-03-28,405.30,500.00,380.00,437.20,79000,95
2013-03-29,437.20,550.00,400.00,470.40,81000,95
2013-03-30,470.40,650.00,430.00,510.90,83000,95
2013-03-31,510.90,800.00,470.00,560.00,85000,95
