Date,Open,High,Low,Close,Volume,BTC_Dominance
2014-01-01,836.00,854.00,780.00,810.00,1000000,90
2014-01-02,810.00,830.00,780.00,800.00,1020000,90
2014-01-03,800.00,820.00,760.00,780.00,980000,90
2014-01-04,780.00,810.00,750.00,800.00,960000,90
2014-01-05,800.00,830.00,770.00,810.00,940000,90
2014-01-06,810.00,840.00,790.00,820.00,920000,90
2014-01-07,820.00,850.00,800.00,830.00,900000,90
2014-01-08,830.00,860.00,810.00,840.00,880000,90
2014-01-09,840.00,870.00,820.00,850.00,860000,90
2014-01-10,850.00,880.00,830.00,860.00,840000,90
2014-01-11,860.00,890.00,840.00,870.00,820000,90
2014-01-12,870.00,900.00,850.00,880.00,800000,90
2014-01-13,880.00,910.00,860.00,890.00,780000,90
2014-01-14,890.00,920.00,870.00,900.00,760000,90
2014-01-15,900.00,930.00,880.00,910.00,740000,90
2014-01-16,910.00,940.00,890.00,920.00,720000,90
2014-01-17,920.00,950.00,900.00,930.00,700000,90
2014-01-18,930.00,960.00,910.00,940.00,680000,90
2014-01-19,940.00,970.00,920.00,950.00,660000,90
2014-01-20,950.00,980.00,930.00,960.00,640000,90
2014-01-21,960.00,990.00,940.00,970.00,620000,90
2014-01-22,970.00,1000.00,950.00,980.00,600000,90
2014-01-23,980.00,1010.00,960.00,990.00,580000,90
2014-01-24,990.00,1020.00,970.00,1000.00,560000,90
2014-01-25,1000.00,1030.00,980.00,1010.00,540000,90
2014-01-26,1010.00,1040.00,990.00,1020.00,520000,90
2014-01-27,1020.00,1050.00,1000.00,1030.00,500000,90
2014-01-28,1030.00,1060.00,1010.00,1040.00,480000,90
2014-01-29,1040.00,1070.00,1020.00,1050.00,460000,90
2014-01-30,1050.00,1080.00,1030.00,1060.00,440000,90
2014-01-31,1060.00,1090.00,1040.00,1070.00,420000,90
