Date,Open,High,Low,Close,Volume,BTC_Dominance
2015-02-01,216.87,231.57,212.01,226.97,29128500,85
2015-02-02,226.97,235.00,222.00,230.00,27000000,85
2015-02-03,230.00,238.00,225.00,235.00,26000000,85
2015-02-04,235.00,240.00,230.00,238.00,25000000,85
2015-02-05,238.00,243.00,233.00,240.00,24000000,85
2015-02-06,240.00,245.00,235.00,243.00,23000000,85
2015-02-07,243.00,248.00,238.00,246.00,22000000,85
2015-02-08,246.00,250.00,242.00,248.00,21000000,85
2015-02-09,248.00,252.00,244.00,250.00,20000000,85
2015-02-10,250.00,254.00,246.00,252.00,19000000,85
2015-02-11,252.00,256.00,248.00,254.00,18000000,85
2015-02-12,254.00,258.00,250.00,256.00,17000000,85
2015-02-13,256.00,260.00,252.00,258.00,16000000,85
2015-02-14,258.00,262.00,254.00,260.00,15000000,85
2015-02-15,260.00,264.00,256.00,262.00,14000000,85
2015-02-16,262.00,266.00,258.00,264.00,13000000,85
2015-02-17,264.00,268.00,260.00,266.00,12000000,85
2015-02-18,266.00,270.00,262.00,268.00,11000000,85
2015-02-19,268.00,272.00,264.00,270.00,10000000,85
2015-02-20,270.00,274.00,266.00,272.00, 9000000,85
2015-02-21,272.00,276.00,268.00,274.00, 8000000,85
2015-02-22,274.00,278.00,270.00,276.00, 7000000,85
2015-02-23,276.00,280.00,272.00,278.00, 6000000,85
2015-02-24,278.00,282.00,274.00,280.00, 5000000,85
2015-02-25,280.00,284.00,276.00,282.00, 4000000,85
2015-02-26,282.00,286.00,278.00,284.00, 3000000,85
2015-02-27,284.00,288.00,280.00,286.00, 2000000,85
2015-02-28,286.00,290.00,282.00,288.00, 1000000,85
