Date,Open,High,Low,Close,Volume,BTC_Dominance
2017-07-01,2470.97,2550.00,2450.00,2508.35,380000000,82%
2017-07-02,2508.35,2558.20,2480.00,2525.10,370000000,82%
2017-07-03,2525.10,2600.00,2500.00,2578.45,360000000,82%
2017-07-04,2578.45,2650.00,2550.00,2615.10,350000000,82%
2017-07-05,2615.10,2680.00,2590.00,2640.30,340000000,82%
2017-07-06,2640.30,2700.00,2600.00,2682.55,330000000,82%
2017-07-07,2682.55,2750.00,2650.00,2720.80,320000000,82%
2017-07-08,2720.80,2780.00,2700.00,2755.90,310000000,82%
2017-07-09,2755.90,2800.00,2730.00,2768.25,300000000,82%
2017-07-10,2768.25,2830.00,2740.00,2795.10,290000000,82%
2017-07-11,2795.10,2860.00,2770.00,2825.40,280000000,82%
2017-07-12,2825.40,2895.00,2790.00,2850.78,270000000,82%
2017-07-13,2850.78,2920.00,2820.00,2889.40,260000000,82%
2017-07-14,2889.40,2950.00,2850.00,2910.32,250000000,82%
2017-07-15,2910.32,2990.00,2880.00,2950.88,240000000,82%
2017-07-16,2950.88,3020.00,2920.00,2988.50,230000000,82%
2017-07-17,2988.50,3050.00,2950.00,3018.20,220000000,82%
2017-07-18,3018.20,3080.00,2980.00,3042.17,210000000,82%
2017-07-19,3042.17,3100.00,3000.00,3070.50,200000000,82%
2017-07-20,3070.50,3150.00,3040.00,3110.35,190000000,82%
2017-07-21,3110.35,3180.00,3080.00,3140.60,180000000,82%
2017-07-22,3140.60,3200.00,3100.00,3180.15,170000000,82%
2017-07-23,3180.15,3250.00,3150.00,3220.90,160000000,82%
2017-07-24,3220.90,3300.00,3180.00,3260.75,150000000,82%
2017-07-25,3260.75,3350.00,3230.00,3305.55,140000000,82%
2017-07-26,3305.55,3400.00,3270.00,3348.20,130000000,82%
2017-07-27,3348.20,3450.00,3310.00,3390.88,120000000,82%
2017-07-28,3390.88,3500.00,3350.00,3435.30,110000000,82%
2017-07-29,3435.30,3600.00,3400.00,3500.85,100000000,82%
2017-07-30,3500.85,3700.00,3460.00,3578.40, 95000000,82%
2017-07-31,3578.40,2900.00,2700.00,2875.34,420000000,82%
