Date,Open,High,Low,Close,Volume,BTC_Dominance
2017-12-01,9920.00,11000.00,9700.00,10800.00,1600000000,53.0
2017-12-02,10800.00,11300.00,10500.00,11000.00,1700000000,53.0
2017-12-03,11000.00,11600.00,10800.00,11300.00,1800000000,52.8
2017-12-04,11300.00,11650.00,11000.00,11550.00,1900000000,52.8
2017-12-05,11550.00,12000.00,11300.00,11900.00,2000000000,52.6
2017-12-06,11900.00,14000.00,11800.00,13800.00,3000000000,52.6
2017-12-07,13800.00,17000.00,13600.00,16500.00,4500000000,52.4
2017-12-08,16500.00,17000.00,15000.00,16496.00,4000000000,52.4
2017-12-09,16496.00,16600.00,14000.00,15150.00,5000000000,52.2
2017-12-10,15150.00,15800.00,13500.00,15500.00,4200000000,52.2
2017-12-11,15500.00,17500.00,15000.00,17178.00,4800000000,52.0
2017-12-12,17178.00,17500.00,16000.00,17000.00,4700000000,52.0
2017-12-13,17000.00,17500.00,16000.00,16500.00,4500000000,51.8
2017-12-14,16500.00,17000.00,16000.00,16400.00,4300000000,51.8
2017-12-15,16400.00,17700.00,16000.00,17600.00,5000000000,51.6
2017-12-16,17600.00,19345.49,17400.00,18900.00,6000000000,51.6
2017-12-17,18900.00,19140.76,18000.00,19140.76,5500000000,51.4
2017-12-18,19140.76,19200.00,17000.00,18900.00,5200000000,51.4
2017-12-19,18900.00,19000.00,16000.00,17500.00,6000000000,51.2
2017-12-20,17500.00,18000.00,15500.00,16500.00,5800000000,51.2
2017-12-21,16500.00,17000.00,13000.00,15500.00,7000000000,51.0
2017-12-22,15500.00,16000.00,12000.00,12000.00,8000000000,51.0
2017-12-23,12000.00,15000.00,11800.00,14600.00,7500000000,50.8
2017-12-24,14600.00,15000.00,13000.00,13900.00,6000000000,50.8
2017-12-25,13900.00,14400.00,13000.00,13995.92,5500000000,50.6
2017-12-26,13995.92,16461.20,13995.90,15400.00,6200000000,50.6
2017-12-27,15400.00,16930.90,14036.60,15864.10,6500000000,50.4
2017-12-28,15864.10,15888.40,15000.00,15600.00,5000000000,50.4
2017-12-29,15600.00,15279.00,14695.80,14695.80,4800000000,50.2
2017-12-30,14695.80,14695.80,14000.00,14681.90,4700000000,50.2
2017-12-31,14681.90,14800.00,13000.00,13850.40,5500000000,50.0
