Date,Open,High,Low,Close,Volume,BTC_Dominance
2018-11-01,6318.14,6547.14,6311.83,6377.78,3789400000,54.2
2018-11-02,6378.92,6396.86,6327.38,6388.44,4234870000,54.2
2018-11-03,6387.24,6400.07,6342.37,6361.26,3658640000,54.2
2018-11-04,6365.47,6388.63,6294.57,6376.13,4390020000,54.2
2018-11-05,6363.62,6480.59,6363.62,6419.66,4174800000,54.2
2018-11-06,6433.38,6463.55,6408.16,6461.01,4700040000,54.2
2018-11-07,6468.50,6552.16,6468.31,6530.14,4941260000,54.2
2018-11-08,6522.27,6536.92,6438.53,6453.72,4665260000,54.2
2018-11-09,6442.60,6456.46,6373.37,6385.62,4346820000,54.2
2018-11-10,6386.13,6437.28,6385.31,6409.22,3705320000,54.2
2018-11-11,6413.63,6423.25,6350.17,6411.27,3939060000,54.2
2018-11-12,6411.76,6434.21,6360.47,6371.27,4295770000,54.2
2018-11-13,6373.19,6395.27,6342.67,6359.49,4503800000,54.2
2018-11-14,6351.24,6371.55,5544.09,5738.35,7398940000,54.2
2018-11-15,5736.15,5774.82,5358.38,5648.03,7032140000,54.2
2018-11-16,5645.32,5657.02,5498.94,5575.55,5279320000,54.2
2018-11-17,5578.58,5578.58,5519.56,5554.33,4303150000,54.2
2018-11-18,5559.74,5653.61,5559.74,5623.54,4159680000,54.2
2018-11-19,5620.78,5620.78,4842.91,4871.49,7039560000,54.2
2018-11-20,4863.93,4951.61,4272.11,4451.87,8428290000,54.2
2018-11-21,4465.54,4675.73,4343.98,4602.17,6120120000,54.2
2018-11-22,4611.57,4629.64,4365.64,4365.94,4569370000,54.2
2018-11-23,4360.70,4396.42,4195.68,4347.11,4871490000,54.2
2018-11-24,4347.69,4413.09,3795.16,3880.76,4679500000,54.2
2018-11-25,3880.78,4120.87,3585.06,4009.97,6825640000,54.2
2018-11-26,4015.07,4107.14,3643.92,3779.13,6476900000,54.2
2018-11-27,3765.95,3862.96,3661.01,3820.72,5998720000,54.2
2018-11-28,3822.47,4385.90,3822.47,4257.42,7280280000,54.2
2018-11-29,4269.00,4413.02,4145.77,4278.85,6503347767,54.2
2018-11-30,4289.09,4322.98,3942.82,4017.27,6048016717,54.2
