Date,Open,High,Low,Close,Volume,BTC_Dominance
2019-09-01,9640.00,10200.00,9600.00,10000.00,14000000000,58.5
2019-09-02,10000.00,10400.00,9800.00,10250.00,13500000000,58.5
2019-09-03,10250.00,10500.00,10100.00,10300.00,13000000000,58.5
2019-09-04,10300.00,10600.00,10150.00,10450.00,12500000000,58.5
2019-09-05,10450.00,10700.00,10300.00,10500.00,12000000000,58.5
2019-09-06,10500.00,10800.00,10400.00,10700.00,11500000000,58.5
2019-09-07,10700.00,11000.00,10600.00,10850.00,11000000000,58.5
2019-09-08,10850.00,11200.00,10700.00,11000.00,10500000000,58.5
2019-09-09,11000.00,11050.00,10144.93,10334.97,10588120668,58.5
2019-09-10,10334.97,10394.35,10100.00,10250.00,10000000000,58.5
2019-09-11,10250.00,10350.00,10050.00,10200.00, 9500000000,58.5
2019-09-12,10200.00,10400.00,10000.00,10350.00, 9000000000,58.5
2019-09-13,10350.00,10500.00,10200.00,10400.00, 8500000000,58.5
2019-09-14,10400.00,10600.00,10250.00,10550.00, 8000000000,58.5
2019-09-15,10550.00,10800.00,10400.00,10750.00, 7500000000,58.5
2019-09-16,10750.00,10950.00,10500.00,10850.00, 7000000000,58.5
2019-09-17,10850.00,11100.00,10700.00,11000.00, 6500000000,58.5
2019-09-18,11000.00,11250.00,10900.00,11150.00, 6000000000,58.5
2019-09-19,11150.00,11400.00,11000.00,11250.00, 5500000000,58.5
2019-09-20,11250.00,11500.00,11100.00,11375.00, 5000000000,58.5
2019-09-21,11375.00,11600.00,11200.00,11500.00, 4500000000,58.5
2019-09-22,11500.00,11800.00,11300.00,11700.00, 4000000000,58.5
2019-09-23,11700.00,12000.00,11600.00,11850.00, 3500000000,58.5
2019-09-24,11850.00,12100.00,11700.00,11950.00, 3000000000,58.5
2019-09-25,11950.00,12200.00,11800.00,12050.00, 2500000000,58.5
2019-09-26,12050.00,12300.00,11900.00,12150.00, 2000000000,58.5
2019-09-27,12150.00,12400.00,12000.00,12250.00, 1500000000,58.5
2019-09-28,12250.00,12500.00,12100.00,12350.00, 1000000000,58.5
2019-09-29,12350.00,12600.00,12200.00,12450.00,  900000000,58.5
2019-09-30,12450.00,12800.00,12300.00,12600.00,  800000000,58.5
