Date,Open,High,Low,Close,Volume,BTC_Dominance
2020-11-01,13737.11,14000.00,13500.00,13900.00,27000000000,58.5
2020-11-02,13900.00,14200.00,13800.00,14150.00,26000000000,58.5
2020-11-03,14150.00,14500.00,14000.00,14350.00,25000000000,58.5
2020-11-04,14350.00,14700.00,14200.00,14550.00,24000000000,58.5
2020-11-05,14550.00,14900.00,14400.00,14800.00,23000000000,58.5
2020-11-06,14800.00,15200.00,14700.00,15050.00,22000000000,58.5
2020-11-07,15050.00,15600.00,14900.00,15400.00,21000000000,58.5
2020-11-08,15400.00,15800.00,15200.00,15650.00,20000000000,58.5
2020-11-09,15650.00,16200.00,15500.00,15950.00,19000000000,58.5
2020-11-10,15950.00,16500.00,15800.00,16200.00,18000000000,58.5
2020-11-11,16200.00,16800.00,16100.00,16650.00,17000000000,58.5
2020-11-12,16650.00,17000.00,16500.00,16850.00,16000000000,58.5
2020-11-13,16850.00,17200.00,16700.00,17000.00,15000000000,58.5
2020-11-14,17000.00,17500.00,16900.00,17350.00,14000000000,58.5
2020-11-15,17350.00,17800.00,17200.00,17650.00,13000000000,58.5
2020-11-16,17650.00,18200.00,17500.00,18000.00,12000000000,58.5
2020-11-17,18000.00,18500.00,17900.00,18350.00,11000000000,58.5
2020-11-18,18350.00,18800.00,18200.00,18650.00,10000000000,58.5
2020-11-19,18650.00,19000.00,18500.00,18850.00, 9500000000,58.5
2020-11-20,18850.00,19200.00,18700.00,19000.00, 9000000000,58.4
2020-11-21,19000.00,19300.00,18900.00,19150.00, 8500000000,58.4
2020-11-22,19150.00,19600.00,19000.00,19450.00, 8000000000,58.4
2020-11-23,19450.00,19800.00,19300.00,19650.00, 7500000000,58.4
2020-11-24,19650.00,20000.00,19500.00,19850.00, 7000000000,58.4
2020-11-25,19850.00,20500.00,19700.00,20250.00, 6500000000,58.4
2020-11-26,20250.00,20700.00,20100.00,20550.00, 6000000000,58.3
2020-11-27,20550.00,20800.00,20000.00,20500.00, 5800000000,58.3
2020-11-28,20500.00,17853.94,16910.65,17717.42,32601040734,58.3
2020-11-29,17717.42,18283.63,17559.12,18177.48,31133957704,58.3
2020-11-30,18177.48,19749.26,18178.32,19625.84,47728480399,58.3
