Date,Open,High,Low,Close,Volume,BTC_Dominance
2021-01-01,29370.85,30050.00,29000.00,29600.00,55000000000,56.0
2021-01-02,29600.00,31000.00,29500.00,30500.00,54000000000,56.0
2021-01-03,30500.00,33000.00,30000.00,32500.00,53000000000,56.0
2021-01-04,32500.00,34000.00,32000.00,33500.00,52000000000,56.0
2021-01-05,33500.00,36000.00,33000.00,35000.00,51000000000,56.0
2021-01-06,35000.00,38000.00,34500.00,37000.00,50000000000,56.0
2021-01-07,37000.00,41000.00,36500.00,40500.00,49000000000,56.0
2021-01-08,40500.00,42000.00,40000.00,41500.00,48000000000,56.0
2021-01-09,41500.00,43000.00,41000.00,42500.00,47000000000,56.0
2021-01-10,42500.00,45000.00,42000.00,44000.00,46000000000,56.0
2021-01-11,44000.00,46000.00,43000.00,45000.00,45000000000,56.0
2021-01-12,45000.00,47000.00,44000.00,46000.00,44000000000,56.0
2021-01-13,46000.00,48000.00,45000.00,47000.00,43000000000,56.0
2021-01-14,47000.00,49000.00,46000.00,48000.00,42000000000,56.0
2021-01-15,48000.00,50000.00,47000.00,49000.00,41000000000,56.0
2021-01-16,49000.00,51000.00,48000.00,50000.00,40000000000,56.0
2021-01-17,50000.00,52000.00,49000.00,51000.00,39000000000,56.0
2021-01-18,51000.00,53000.00,50000.00,52000.00,38000000000,56.0
2021-01-19,52000.00,54000.00,51000.00,53000.00,37000000000,56.0
2021-01-20,53000.00,55000.00,52000.00,54000.00,36000000000,56.0
2021-01-21,54000.00,56000.00,53000.00,55000.00,35000000000,56.0
2021-01-22,55000.00,57000.00,54000.00,56000.00,34000000000,56.0
2021-01-23,56000.00,58000.00,55000.00,57000.00,33000000000,56.0
2021-01-24,57000.00,59000.00,56000.00,58000.00,32000000000,56.0
2021-01-25,58000.00,60000.00,57000.00,59000.00,31000000000,56.0
2021-01-26,59000.00,61000.00,58000.00,60000.00,30000000000,56.0
2021-01-27,60000.00,62000.00,59000.00,61000.00,29000000000,56.0
2021-01-28,61000.00,63858.31,60000.00,63466.10,76517157706,56.0
2021-01-29,63466.10,68406.26,62064.81,64316.39,117894572511,56.0
2021-01-30,64316.39,64834.71,62940.19,64269.52,65141828798,56.0
2021-01-31,64269.52,64288.33,62270.18,33114.36,52754542671,56.0
