Date,Open,High,Low,Close,Volume,BTC_Dominance
2022-01-01,46311.746094,47827.312500,46288.484375,47686.812500,24582667004,42.5
2022-01-02,47680.925781,47881.406250,46856.937500,47345.218750,27951569547,42.4
2022-01-03,47343.542969,47510.726563,45835.964844,46458.117188,33071628362,42.3
2022-01-04,46458.851563,47406.546875,45752.464844,45897.574219,42494677905,42.1
2022-01-05,45899.359375,46929.046875,42798.222656,43569.003906,36851084859,41.8
2022-01-06,43565.511719,43748.718750,42645.539063,43160.929688,30208048289,41.7
2022-01-07,43153.570313,43153.570313,41077.445313,41557.902344,84196607520,41.5
2022-01-08,41561.464844,42228.941406,40672.277344,41733.941406,28066355845,41.6
2022-01-09,41734.726563,42663.949219,41338.160156,41911.601563,21294384372,41.7
2022-01-10,41910.230469,42199.484375,39796.570313,41821.261719,32104232331,41.7
2022-01-11,41819.507813,43001.156250,41407.753906,42735.855469,26327648900,41.9
2022-01-12,42742.179688,44135.367188,42528.988281,43949.101563,33499938689,42.3
2022-01-13,43946.742188,44278.421875,42447.042969,42591.570313,47691135082,42.1
2022-01-14,42598.871094,43346.687500,41982.617188,43099.699219,23577403399,42.2
2022-01-15,43101.898438,43724.671875,42669.035156,43177.398438,18371348298,42.2
2022-01-16,43172.039063,43436.808594,42691.023438,43113.878906,17902097845,42.2
2022-01-17,43118.121094,43179.390625,41680.320313,42250.550781,21690904261,42.1
2022-01-18,42250.074219,42534.402344,41392.214844,42375.632813,22417209227,42.1
2022-01-19,42374.039063,42478.304688,41242.914063,41744.328125,23091543258,42.0
2022-01-20,41744.027344,43413.023438,40672.824219,40680.417969,20382033940,41.8
2022-01-21,40699.605469,41060.527344,35791.425781,36457.316406,43011992031,41.0
2022-01-22,36471.589844,36688.812500,34349.250000,35030.250000,39714385405,40.5
2022-01-23,35047.359375,36433.312500,34784.968750,36276.804688,26017975951,40.8
2022-01-24,36275.734375,37247.519531,33184.058594,36654.328125,41856658597,41.0
2022-01-25,36654.804688,37444.570313,35779.429688,36954.003906,26428189594,41.1
2022-01-26,36950.515625,38825.410156,36374.906250,36852.121094,31324598034,41.1
2022-01-27,36841.878906,37148.324219,35629.281250,37138.234375,25041426629,41.2
2022-01-28,37128.445313,37952.878906,36211.109375,37784.332031,22238830523,41.3
2022-01-29,37780.714844,38576.261719,37406.472656,38138.179688,17194183075,41.4
2022-01-30,38151.917969,38266.339844,37437.710938,37917.601563,14643548444,41.3
2022-01-31,37920.281250,38647.261719,36733.574219,38483.125000,20734730465,41.4
