Date,Open,High,Low,Close,Volume,DominanceBTC
2023-06-01,27218.41,27346.11,26671.72,26819.97,14678970415,45.7
2023-06-02,26817.93,27300.00,26505.00,27242.59,983857062,45.8
2023-06-03,27242.59,27333.29,26914.93,27069.22,450588672,45.8
2023-06-04,27069.22,27455.02,26951.00,27115.21,523747237,45.8
2023-06-05,27115.20,27129.33,25388.00,25728.20,1722665798,45.2
2023-06-06,25728.20,27355.33,25351.02,27230.08,1797636024,45.6
2023-06-07,27230.07,27391.77,26125.01,26339.34,1589291468,45.3
2023-06-08,26339.34,26810.00,26210.00,26498.61,823023638,45.4
2023-06-09,26498.62,26783.33,26269.91,26477.81,741158215,45.4
2023-06-10,26477.80,26533.87,25358.00,25841.21,1673795235,45.1
2023-06-11,25841.22,26206.88,25634.70,25925.55,776111472,45.2
2023-06-12,25925.54,26106.48,25602.11,25905.19,773303699,45.2
2023-06-13,25905.20,26433.21,25712.57,25934.25,1068985237,45.3
2023-06-14,25934.24,26098.00,24820.56,25128.60,1152808417,44.9
2023-06-15,25128.60,25759.01,24800.00,25598.49,1224436975,45.0
2023-06-16,25598.49,26518.00,25175.56,26345.00,1335158159,45.3
2023-06-17,26345.01,26839.99,26181.00,26516.99,738491810,45.4
2023-06-18,26516.99,26700.00,26255.85,26339.97,571013014,45.4
2023-06-19,26339.98,27068.09,26256.61,26844.35,954193987,45.6
2023-06-20,26844.35,28402.74,26652.00,28307.99,1912797984,46.3
2023-06-21,28308.00,30800.00,28257.99,29993.89,3210301129,47.2
2023-06-22,29993.89,30500.00,29525.61,29884.92,1775822104,47.3
2023-06-23,29884.92,31431.94,29800.00,30688.50,2265077496,47.6
2023-06-24,30688.51,30800.00,30250.00,30527.43,933244398,47.6
2023-06-25,30527.44,31046.01,30277.49,30462.66,926316644,47.6
2023-06-26,30462.67,30666.00,29930.00,30267.99,1367837658,47.5
2023-06-27,30267.99,30994.97,30226.17,30692.44,1306206257,47.6
2023-06-28,30692.44,30709.74,29858.80,30077.41,1224103638,47.4
2023-06-29,30077.40,30843.98,30049.98,30447.31,1107940390,47.5
2023-06-30,30447.31,31282.00,29500.00,30472.00,2726355506,47.6
