month,pressure,tension,volatility,hbv,arrhythmia
bitcoin_2010_07,2.746784,0.614272,0.047727,0.074262,0.4
bitcoin_2010_08,3.621304,0.693969,0.815267,0.034277,0.166667
bitcoin_2010_09,2.060692,0.512154,0.239405,0.013444,0.172414
bitcoin_2010_10,3.610626,0.692944,0.914381,0.031992,0.1
bitcoin_2010_11,3.691044,0.705414,0.658197,0.114377,0.206897
bitcoin_2010_12,2.846065,0.618628,0.684448,0.013304,0.066667
bitcoin_2010_2012_monthly,6.150718,0.854415,0.727034,0.926974,0.068966
bitcoin_2011_01,3.244001,0.659886,0.888181,0.015956,0.033333
bitcoin_2011_02,3.839873,0.722722,0.771981,0.21206,0.071429
bitcoin_2011_03,3.328577,0.666411,0.99496,0.001945,0.0
bitcoin_2011_04,1.454484,0.145042,0.507653,0.015215,0.034483
bitcoin_2011_05,2.107126,0.099509,0.924201,0.019902,0.0
bitcoin_2011_06,2.135189,0.533541,0.280888,0.065329,0.103448
bitcoin_2011_07,0.400556,0.030818,0.160214,0.006164,0.0
bitcoin_2011_08,1.52458,0.26491,0.357907,0.026315,0.066667
bitcoin_2011_09,2.379853,0.603,0.312923,0.079221,0.103448
bitcoin_2011_10,1.860784,0.011018,-0.916068,0.002204,0.0
bitcoin_2011_11,1.214105,0.35313,0.05488,0.029247,0.103448
bitcoin_2011_12,1.549753,0.213617,0.467175,0.02939,0.033333
bitcoin_2012_01,3.115301,0.467584,0.859791,0.053517,0.1
bitcoin_2012_02,2.668897,0.317659,0.857206,0.03496,0.071429
bitcoin_2012_03,1.797879,0.439545,0.177531,0.021242,0.166667
bitcoin_2012_04,0.998198,0.225631,0.143709,0.01754,0.068966
bitcoin_2012_07,1.846949,0.374088,0.317161,0.021484,0.133333
bitcoin_2012_08,1.609236,0.442002,-0.110016,0.035067,0.133333
bitcoin_2012_09,2.010955,0.068564,0.916344,0.013713,0.0
bitcoin_2012_10,2.298454,0.572426,0.345072,0.087819,0.066667
bitcoin_2012_11,0.303107,0.058295,0.07577,0.011659,0.0
bitcoin_2012_12,2.051998,0.027088,0.990784,0.005418,0.0
bitcoin_2013_01,1.980132,0.094291,0.867488,0.018858,0.0
bitcoin_2013_02,2.092265,0.130316,0.843389,0.011248,0.037037
