date,M2SL,MYAGM2EZM196N,MYAGM2JPM189S,MYAGM2CNM189S,global_liquidity,global_liquidity_growth
1955-01-01,,,3564500000000.0,,3564500000000.0,
1955-02-01,,,3595400000000.0,,3595400000000.0,
1955-03-01,,,3614400000000.0,,3614400000000.0,
1955-04-01,,,3664300000000.0,,3664300000000.0,
1955-05-01,,,3705400000000.0,,3705400000000.0,
1955-06-01,,,3747500000000.0,,3747500000000.0,
1955-07-01,,,3805000000000.0,,3805000000000.0,
1955-08-01,,,3883400000000.0,,3883400000000.0,
1955-09-01,,,3901700000000.0,,3901700000000.0,
1955-10-01,,,3973400000000.0,,3973400000000.0,
1955-11-01,,,4026900000000.0,,4026900000000.0,
1955-12-01,,,4097900000000.0,,4097900000000.0,
1956-01-01,,,4141100000000.0,,4141100000000.0,0.1617618179267779
1956-02-01,,,4212600000000.0,,4212600000000.0,0.1716637926239084
1956-03-01,,,4275300000000.0,,4275300000000.0,0.1828519256308101
1956-04-01,,,4328900000000.0,,4328900000000.0,0.18137161258630563
1956-05-01,,,4408600000000.0,,4408600000000.0,0.18977708209639976
1956-06-01,,,4512500000000.0,,4512500000000.0,0.20413609072715144
1956-07-01,,,4580700000000.0,,4580700000000.0,0.20386333771353482
1956-08-01,,,4663000000000.0,,4663000000000.0,0.20075191842200124
1956-09-01,,,4762800000000.0,,4762800000000.0,0.22069866981059527
1956-10-01,,,4819200000000.0,,4819200000000.0,0.2128655559470478
1956-11-01,,,4911700000000.0,,4911700000000.0,0.2197223670813777
1956-12-01,,,5004500000000.0,,5004500000000.0,0.2212352668439932
1957-01-01,,,5098900000000.0,,5098900000000.0,0.23129120282050653
1957-02-01,,,5155900000000.0,,5155900000000.0,0.22392346769216154
1957-03-01,,,5238900000000.0,,5238900000000.0,0.225387692091783
1957-04-01,,,5315900000000.0,,5315900000000.0,0.22800249486012603
1957-05-01,,,5386100000000.0,,5386100000000.0,0.2217257179149843
1957-06-01,,,5425600000000.0,,5425600000000.0,0.20234903047091413
1957-07-01,,,5478900000000.0,,5478900000000.0,0.19608356801362237
1957-08-01,,,5531300000000.0,,5531300000000.0,0.18621059403817286
1957-09-01,,,5560900000000.0,,5560900000000.0,0.16756949693457623
1957-10-01,,,5649600000000.0,,5649600000000.0,0.17231075697211162
1957-11-01,,,5704200000000.0,,5704200000000.0,0.1613494309505874
1957-12-01,,,5758300000000.0,,5758300000000.0,0.15062443800579484
1958-01-01,,,5830700000000.0,,5830700000000.0,0.14352115162093781
1958-02-01,,,5897500000000.0,,5897500000000.0,0.1438352179057003
1958-03-01,,,5962300000000.0,,5962300000000.0,0.13808242188245634
1958-04-01,,,6068000000000.0,,6068000000000.0,0.14148121672717706
1958-05-01,,,6115600000000.0,,6115600000000.0,0.13544122834704142
1958-06-01,,,6221100000000.0,,6221100000000.0,0.14661972869360063
1958-07-01,,,6341200000000.0,,6341200000000.0,0.1573856065998649
1958-08-01,,,6441600000000.0,,6441600000000.0,0.1645725236382043
1958-09-01,,,6550000000000.0,,6550000000000.0,0.17786689204984807
1958-10-01,,,6652500000000.0,,6652500000000.0,0.17751699235344098
1958-11-01,,,6788100000000.0,,6788100000000.0,0.190017881560955
1958-12-01,,,6855300000000.0,,6855300000000.0,0.1905076150947329
