Date,DominanceBTC
2026-01-23,56.3936
2026-01-24,56.3936
2026-01-25,56.1498
2026-01-26,56.1498
2026-01-27,56.1498
2026-01-28,56.1498
2026-01-29,56.1498
2026-01-30,56.3936
2026-01-31,56.3936
2026-02-01,56.3936
2026-02-02,56.437
2026-02-03,56.437
2026-02-04,56.437
2026-02-05,56.437
2026-02-06,56.437
2026-02-07,56.4689
2026-02-08,56.4689
2026-02-09,56.4689
2026-02-10,56.4689
2026-02-11,56.4689
2026-02-12,56.4697
2026-02-13,56.4697
2026-02-14,56.4697
2026-02-15,56.4697
2026-02-16,56.4705
2026-02-17,56.4705
2026-02-18,56.4729
2026-02-19,56.4729
